Pair,Asset A,Asset B,Beta,ADF Stat,Half Life,Hurst,Zero Cross,Correlation
INDUSINDBK-BPCL,INDUSINDBK,BPCL,1.7772255140574271,-1.976071274172149,91.36881226698878,0.4830918701333847,26,0.7163915295180929
AUROPHARMA-SHRIRAMFIN,AUROPHARMA,SHRIRAMFIN,0.7595421941143523,-2.34834280998722,67.06879919543321,0.4832950599039848,22,0.8104024548058716
BRITANNIA-SBICARD,BRITANNIA,SBICARD,0.4496575884301689,-2.8347727325253227,46.16567588398755,0.48340036299881656,18,0.08973888021816068
CIPLA-TATACONSUM,CIPLA,TATACONSUM,0.5310129857625543,-2.0567346830659465,104.91173323536923,0.48344823978811885,51,0.20380680697688466
AUROPHARMA-SBICARD,AUROPHARMA,SBICARD,-1.254567423599869,-2.2024637388343447,72.74104074888687,0.4835607323895798,25,-0.5899517022465723
KOTAKBANK-POWERGRID,KOTAKBANK,POWERGRID,0.3882325246466694,-2.1650327902816087,97.63049585881204,0.483747854368925,32,0.09464127721411988
BRITANNIA-SUNPHARMA,BRITANNIA,SUNPHARMA,-0.846163876926971,-3.0708683933433947,38.71446648335302,0.48376094866397673,38,-0.3629010046859539
BRITANNIA-SHRIRAMFIN,BRITANNIA,SHRIRAMFIN,-0.3638299612862935,-2.830176270317464,45.044580543564464,0.4838097015875848,14,-0.16474929700012114
KOTAKBANK-VEDL,KOTAKBANK,VEDL,0.25174631294341343,-2.6221877194786036,80.07340398736225,0.48394057514048755,16,0.1275682967398727
HINDUNILVR-NESTLEIND,HINDUNILVR,NESTLEIND,3.079864767390649,-2.6421896871063697,54.69786176531806,0.48398641387519925,31,0.7685335524021434
POWERGRID-SBIN,POWERGRID,SBIN,-0.29874288891186446,-1.8519071227543134,98.93367087781235,0.48401057333754827,24,-0.6377617862869034
TVSMOTOR-VEDL,TVSMOTOR,VEDL,1.0538314425073123,-2.436240066331631,81.10290851574533,0.48433814394562985,16,0.2661112906276557
VEDL-BPCL,VEDL,BPCL,0.7800959519374105,-0.6369446495298682,354.06816492898696,0.48480357830223386,19,0.49676092829663504
LTIM-HDFCBANK,LTIM,HDFCBANK,2.029529204323958,-1.210291049536,294.11088056447716,0.48485031336421874,13,0.06925029324144126
TCS-INFY,TCS,INFY,1.5552259886258961,-3.2093613473448626,33.73726972661478,0.4849813874901542,52,0.9455125152424964
OFSS-MUTHOOTFIN,OFSS,MUTHOOTFIN,-0.7019893816135645,-1.731631326639345,87.87008925995428,0.48527164707595105,33,-0.7438763757540943
VEDL-SBICARD,VEDL,SBICARD,-0.684248772765018,-2.5112446384224456,46.62389576934065,0.48530980510956434,49,-0.7202533916989675
ULTRACEMCO-HDFCBANK,ULTRACEMCO,HDFCBANK,3.245194538417135,-2.223439634217334,111.98022520848745,0.4853536061994214,13,0.13233539905964736
BRITANNIA-HDFCBANK,BRITANNIA,HDFCBANK,-2.5125185463180646,-3.252130961316821,37.69162641773216,0.48537185037646075,22,-0.2035316429341957
CIPLA-AMBUJACEM,CIPLA,AMBUJACEM,1.3149604528247736,-2.187079583056896,88.11612275537617,0.4854814586554367,36,0.45290300948471546
TVSMOTOR-HCLTECH,TVSMOTOR,HCLTECH,0.477429208780494,-2.447444385268152,79.80246279543235,0.48555124193825083,22,0.33645380298876293
POWERGRID-NESTLEIND,POWERGRID,NESTLEIND,0.3168352744662056,-2.0845328020240586,83.56226946149418,0.48560187328348076,17,0.6713115976791744
HEROMOTOCO-TCS,HEROMOTOCO,TCS,3.043534003903393,-0.6265868370480954,297.70364846399684,0.4856514536326602,33,0.7647244955660355
KOTAKBANK-AMBUJACEM,KOTAKBANK,AMBUJACEM,-0.616977607969197,-2.559428981956304,77.48096819959285,0.4859227166342648,24,-0.18446905090280719
BAJAJFINSV-HDFCBANK,BAJAJFINSV,HDFCBANK,2.6991584193919036,-3.023411780717465,39.122026399213844,0.48599496776269874,34,0.5631773655127731
TATAPOWER-SBIN,TATAPOWER,SBIN,-0.25133303077047114,-2.3179076094682207,66.116797356668,0.48616937255274634,30,-0.5719655626313888
DRREDDY-TATAPOWER,DRREDDY,TATAPOWER,-1.2203421806591424,-2.273222804072392,71.07604095833635,0.4862813711024252,26,-0.3875854913522141
NTPC-SBIN,NTPC,SBIN,-0.2586530847033242,-2.749644017053548,46.51453785164002,0.4863195116689071,24,-0.7131918166207992
WIPRO-VEDL,WIPRO,VEDL,0.2605460201055957,-1.835249832567693,108.99038276797143,0.48638715536746735,22,0.6819098763656876
EICHERMOT-RELIANCE,EICHERMOT,RELIANCE,3.0447800761019828,-2.7545484787535774,52.02501468372511,0.4863943985885086,44,0.6317489299233882
KOTAKBANK-TATASTEEL,KOTAKBANK,TATASTEEL,-1.216410838936574,-2.398378525889242,83.45531147144632,0.4864337182266012,16,-0.19061974469590806
AUROPHARMA-SUNPHARMA,AUROPHARMA,SUNPHARMA,0.7907432233175752,-1.7772964073967983,94.74512097773918,0.48646320878581484,33,0.799084858034659
VEDL-SBIN,VEDL,SBIN,0.49920352777089033,-0.7493650613711661,298.01015404204423,0.48668319155853756,31,0.5126814464189321
CHOLAFIN-TATAPOWER,CHOLAFIN,TATAPOWER,0.37081303117758463,-3.6006241592785635,28.72674609153005,0.4867339410197021,40,0.13881511855132309
ULTRACEMCO-KOTAKBANK,ULTRACEMCO,KOTAKBANK,0.4602997355870148,-2.0895307063483464,117.48153429612684,0.48678255343900123,23,0.08669641795423064
DABUR-ONGC,DABUR,ONGC,1.0042205078285567,-2.484316573920595,56.937258141913134,0.4868474367917016,49,0.5198198749461345
IOC-HDFCBANK,IOC,HDFCBANK,-0.35937424074000174,-3.0454121476738854,41.57001602746999,0.4868714769312089,48,-0.5749253650596426
SBICARD-BPCL,SBICARD,BPCL,-1.2179085681300454,-3.351711642745289,31.588622961327705,0.48691902591824776,51,-0.7367884456023568
LTIM-TVSMOTOR,LTIM,TVSMOTOR,1.547596821230763,-2.1458948421532895,120.19608874156694,0.48697888360051633,17,0.48943696170765194
HEROMOTOCO-M&M,HEROMOTOCO,M&M,1.978842830255716,-1.2409455604301742,237.67282839634774,0.487040639927345,31,0.43943511215268194
CIPLA-ADANIPOWER,CIPLA,ADANIPOWER,3.3990195997889647,-2.8169676607714336,44.114431593479516,0.4870427651580382,70,0.7979875196755937
TECHM-ICICIBANK,TECHM,ICICIBANK,1.4045033704963108,-0.7320882110178859,403.7093444252405,0.4871048807977212,13,0.37466281134222673
TECHM-KOTAKBANK,TECHM,KOTAKBANK,0.7705418686089893,-1.7042689733820084,165.26054255043832,0.48712168583445303,19,0.49632844276251276
CHOLAFIN-SAIL,CHOLAFIN,SAIL,0.5711966761484606,-3.553984295488797,28.971085866530565,0.487340089623538,54,0.11521436901445438
KOTAKBANK-SBIN,KOTAKBANK,SBIN,-0.8652362410306714,-1.9320189117789888,86.38445020618192,0.4873644867576383,42,-0.4502816982555402
TVSMOTOR-SUNPHARMA,TVSMOTOR,SUNPHARMA,0.4890073266062246,-2.218778324048765,86.7723378945423,0.4873855423758306,16,0.27932754883602484
JSWENERGY-GRASIM,JSWENERGY,GRASIM,0.2248949792746537,-0.7939397377455116,366.1669337276818,0.4873961268036155,45,0.5622441861693489
AUROPHARMA-HINDUNILVR,AUROPHARMA,HINDUNILVR,-0.21942178378447605,-1.4915440207288895,167.1396571228901,0.4875428825141585,13,-0.4004049011497726
BRITANNIA-SBIN,BRITANNIA,SBIN,-1.642299184007378,-2.882953982595208,41.00852812302459,0.4876583067908581,20,-0.31977879847194524
TATASTEEL-ASHOKLEY,TATASTEEL,ASHOKLEY,-0.42899016744187163,-2.1731180609767025,80.60142915105249,0.4878072730531959,23,-0.6754406696762731
CHOLAFIN-TATASTEEL,CHOLAFIN,TATASTEEL,0.6378045184277744,-3.5896241407706966,28.48737403944663,0.48796773785669995,44,0.1636167243660595
VEDL-TATASTEEL,VEDL,TATASTEEL,-0.9134474445664277,-1.4757936463145795,146.53988791820032,0.48821772015739673,23,-0.2824824875960261
